label,text
travel,"Best places to visit in Japan this spring"
cooking,"Healthy recipes for a busy work week"
health,"Tips for staying active while working from home"
sports,"local team loses in first round"
business,"markets crash as inflation peaks"
travel,"affordable flight deals for summer vacations"
cooking,"10-minute dinner ideas for the family"
health,"the benefits of yoga for mental clarity"
politics,"new government formed after coalition talks"
science,"artificial intelligence research leads to new discoveries"
